15 مايو,1,1,15 May,true
الازبكية,2,1,Al Azbakeyah,true
البساتين,3,1,Al Basatin,true
التبين,4,1,Tebin,true
الخليفة,5,1,El-Khalifa,true
الدراسة,6,1,El darrasa,true
الدرب الاحمر,7,1,Aldarb Alahmar,true
الزاوية الحمراء,8,1,Zawya al-Hamra,true
الزيتون,9,1,El-Zaytoun,true
الساحل,10,1,Sahel,true
السلام,11,1,El Salam,true
السيدة زينب,12,1,Sayeda Zeinab,true
الشرابية,13,1,El Sharabeya,true
مدينة الشروق,14,1,Shorouk,true
الظاهر,15,1,El Daher,true
العتبة,16,1,Ataba,true
القاهرة الجديدة,17,1,New Cairo,true
المرج,18,1,El Marg,true
عزبة النخل,19,1,Ezbet el Nakhl,true
المطرية,20,1,Matareya,true
المعادى,21,1,Maadi,true
المعصرة,22,1,Maasara,true
المقطم,23,1,Mokattam,true
المنيل,24,1,Manyal,true
الموسكى,25,1,Mosky,true
النزهة,26,1,Nozha,true
الوايلى,27,1,Waily,true
باب الشعرية,28,1,Bab al-Shereia,true
بولاق,29,1,Bolaq,true
جاردن سيتى,30,1,Garden City,true
حدائق القبة,31,1,Hadayek El-Kobba,true
حلوان,32,1,Helwan,true
دار السلام,33,1,Dar Al Salam,true
شبرا,34,1,Shubra,true
طره,35,1,Tura,true
عابدين,36,1,Abdeen,true
عباسية,37,1,Abaseya,true
عين شمس,38,1,Ain Shams,true
مدينة نصر,39,1,Nasr City,true
مصر الجديدة,40,1,New Heliopolis,true
مصر القديمة,41,1,Masr Al Qadima,true
منشية ناصر,42,1,Mansheya Nasir,true
مدينة بدر,43,1,Badr City,true
مدينة العبور,44,1,Obour City,true
وسط البلد,45,1,Cairo Downtown,true
الزمالك,46,1,Zamalek,true
قصر النيل,47,1,Kasr El Nile,true
الرحاب,48,1,Rehab,true
القطامية,49,1,Katameya,true
مدينتي,50,1,Madinty,true
روض الفرج,51,1,Rod Alfarag,true
شيراتون,52,1,Sheraton,true
الجمالية,53,1,El-Gamaleya,true
العاشر من رمضان,54,1,10th of Ramadan City,true
الحلمية,55,1,Helmeyat Alzaytoun,true
النزهة الجديدة,56,1,New Nozha,true
العاصمة الإدارية,57,1,Capital New,true
الجيزة,58,2,Giza,true
السادس من أكتوبر,59,2,Sixth of October,true
الشيخ زايد,60,2,Cheikh Zayed,true
الحوامدية,61,2,Hawamdiyah,true
البدرشين,62,2,Al Badrasheen,true
الصف,63,2,Saf,true
أطفيح,64,2,Atfih,true
العياط,65,2,Al Ayat,true
الباويطي,66,2,Al-Bawaiti,true
منشأة القناطر,67,2,ManshiyetAl Qanater,true
أوسيم,68,2,Oaseem,true
كرداسة,69,2,Kerdasa,true
أبو النمرس,70,2,Abu Nomros,true
كفر غطاطي,71,2,Kafr Ghati,true
منشأة البكاري,72,2,Manshiyet Al Bakari,true
الدقى,73,2,Dokki,true
العجوزة,74,2,Agouza,true
الهرم,75,2,Haram,true
الوراق,76,2,Warraq,true
امبابة,77,2,Imbaba,true
بولاق الدكرور,78,2,Boulaq Dakrour,true
الواحات البحرية,79,2,Al Wahat Al Baharia,true
العمرانية,80,2,Omraneya,true
المنيب,81,2,Moneeb,true
بين السرايات,82,2,Bin Alsarayat,true
الكيت كات,83,2,Kit Kat,true
المهندسين,84,2,Mohandessin,true
فيصل,85,2,Faisal,true
أبو رواش,86,2,Abu Rawash,true
حدائق الأهرام,87,2,Hadayek Alahram,true
الحرانية,88,2,Haraneya,true
حدائق اكتوبر,89,2,Hadayek October,true
صفط اللبن,90,2,Saft Allaban,true
القرية الذكية,91,2,Smart Village,true
ارض اللواء,92,2,Ard Ellwaa,true
ابو قير,93,3,Abu Qir,true
الابراهيمية,94,3,Al Ibrahimeyah,true
الأزاريطة,95,3,Azarita,true
