1,القاهرة,Cairo,1,true
2,الجيزة,Giza,1,true
3,الأسكندرية,Alexandria,1,true
4,الدقهلية,Dakahlia,1,true
5,البحر الأحمر,Red Sea,1,true
6,البحيرة,Beheira,1,true
7,الفيوم,Fayoum,1,true
8,الغربية,Gharbiya,1,true
9,الإسماعلية,Ismailia,1,true
10,المنوفية,Menofia,1,true
11,المنيا,Minya,1,true
12,القليوبية,Qaliubiya,1,true
13,الوادي الجديد,New Valley,1,true
14,السويس,Suez,1,true
15,اسوان,Aswan,1,true
16,اسيوط,Assiut,1,true
17,بني سويف,Beni Suef,1,true
18,بورسعيد,Port Said,1,true
19,دمياط,Damietta,1,true
20,الشرقية,Sharkia,1,true
21,جنوب سيناء,South Sinai,1,true
22,كفر الشيخ,Kafr Al sheikh,1,true
23,مطروح,Matrouh,1,true
24,الأقصر,Luxor,1,true
25,قنا,Qena,1,true
26,شمال سيناء,North Sinai,1,true
27,سوهاج,Sohag,1,true
